gene	type
PGAM1	Squamous
ANGPTL4	Squamous
ARPC2	Squamous
ITGA3	Squamous
PTPN1	Squamous
GSDMC	Squamous
DRAP1	Squamous
ANXA8	Squamous
LDHA	Squamous
ARHGAP23	Squamous
HCAR2	Squamous
ULBP2	Squamous
KIAA1609	Squamous
PTHLH	Squamous
CEBPB	Squamous
SLC16A3	Squamous
EGFR	Squamous
PLXNA1	Squamous
ZBED2	Squamous
IL1A	Squamous
TPD52L2	Squamous
DUSP14	Squamous
FSCN1	Squamous
RND3	Squamous
GPR87	Squamous
PANX1	Squamous
S100A2	Squamous
ANXA1	Squamous
KRT6A	Squamous
ADAM17	Squamous
PTRF	Squamous
EMILIN1	Squamous
FBXL7	Squamous
CERCAM	Squamous
DDR2	Squamous
GXYLT2	Squamous
CHSY3	Squamous
VSTM4	Squamous
COL8A1	Squamous
PRRX1	Squamous
COL5A2	Squamous
SPARC	Squamous
FBN1	Squamous
FAP	Squamous
COL6A3	Squamous
COL1A2	Squamous
BNC2	Squamous
EFEMP2	Squamous
FSTL1	Squamous
COL3A1	Squamous
GSG2	Squamous
KIF18A	Squamous
CDCA5	Squamous
CCNA2	Squamous
MCM10	Squamous
DEPDC1	Squamous
UBE2C	Squamous
KIF4A	Squamous
CCNB1	Squamous
KIF2C	Squamous
SPAG5	Squamous
TPX2	Squamous
HIST1H2BO	Squamous
BUB1	Squamous
CKAP2L	Squamous
PTTG1	Squamous
CDC20	Squamous
ERCC6L	Squamous
NCAPG	Squamous
NCAPH	Squamous
PSMA7	Squamous
CCT6A	Squamous
CCT7	Squamous
DKC1	Squamous
HSPE1	Squamous
EIF2S2	Squamous
MRPL11	Squamous
MRPL17	Squamous
LYAR	Squamous
PSMA1	Squamous
EIF4A3	Squamous
PPAT	Squamous
HAT1	Squamous
PAICS	Squamous
BRIX1	Squamous
RUVBL1	Squamous
CKS1B	Squamous
TOMM40	Squamous
CCT5	Squamous
ALYREF	Squamous
LRRC66	Progenitor
GJB1	Progenitor
LGALS4	Progenitor
PLA2G10	Progenitor
PLS1	Progenitor
BCAS1	Progenitor
CAPN5	Progenitor
HNF4G	Progenitor
ARHGEF38	Progenitor
CAPN8	Progenitor
AP001187.9	Progenitor
ABP1	Progenitor
ERBB3	Progenitor
C9orf152	Progenitor
SLC44A4	Progenitor
IHH	Progenitor
HNF4A	Progenitor
FAM83E	Progenitor
PRR15L	Progenitor
EPS8L3	Progenitor
REG3G	ADEX
SYCN	ADEX
REG1P	ADEX
SERPINI2	ADEX
CPB1	ADEX
RP11-331F4.4	ADEX
AQP8	ADEX
RBPJL	ADEX
CUZD1	ADEX
PLA2G1B	ADEX
CLPS	ADEX
CEL	ADEX
CELA3B	ADEX
CELA3A	ADEX
CTRB1	ADEX
CTRC	ADEX
CTRB2	ADEX
PNLIPRP1	ADEX
CPA1	ADEX
CPA2	ADEX
UNC79	ADEX
GCK	ADEX
GJD2	ADEX
SYT4	ADEX
KCNK16	ADEX
NOL4	ADEX
SCGN	ADEX
INS	ADEX
CABP7	ADEX
CHGB	ADEX
BEX1	ADEX
SVOP	ADEX
MIR7-3HG	ADEX
ABCC8	ADEX
HMGCLL1	ADEX
SLC30A8	ADEX
SST	ADEX
CELF3	ADEX
PCSK2	ADEX
SCG3	ADEX
IGHV3-15	Immunogenic
IGHV3-7	Immunogenic
IGHV1-46	Immunogenic
IGKV2-28	Immunogenic
IGHV3-23	Immunogenic
IGHV3-53	Immunogenic
IGHV5-51	Immunogenic
IGHA1	Immunogenic
IGKV4-1	Immunogenic
IGLV2-23	Immunogenic
IGLV1-40	Immunogenic
IGKV3-11	Immunogenic
IGLL5	Immunogenic
IGJ	Immunogenic
IGLC3	Immunogenic
IGKV1D-39	Immunogenic
IGLV2-14	Immunogenic
AC096579.7	Immunogenic
IGKV3-20	Immunogenic
IGKC	Immunogenic
CSF1R	Immunogenic
TYROBP	Immunogenic
FCER1G	Immunogenic
TLR8	Immunogenic
C3AR1	Immunogenic
CD86	Immunogenic
WAS	Immunogenic
SPI1	Immunogenic
HAVCR2	Immunogenic
SASH3	Immunogenic
CYBB	Immunogenic
MS4A4A	Immunogenic
BTK	Immunogenic
LAPTM5	Immunogenic
PTPRC	Immunogenic
MARCH1	Immunogenic
CD53	Immunogenic
AIF1	Immunogenic
DOCK2	Immunogenic
NCKAP1L	Immunogenic
SIT1	Immunogenic
GIMAP4	Immunogenic
GPR174	Immunogenic
SEPT1	Immunogenic
CXCR6	Immunogenic
ITK	Immunogenic
TBC1D10C	Immunogenic
GIMAP5	Immunogenic
CD96	Immunogenic
ZNF831	Immunogenic
GZMK	Immunogenic
PTPRCAP	Immunogenic
SLAMF1	Immunogenic
P2RY10	Immunogenic
CD48	Immunogenic
THEMIS	Immunogenic
CD3E	Immunogenic
CD3D	Immunogenic
SH2D1A	Immunogenic
CD2	Immunogenic
