ADAM12 	M 
ADAMTS12 	M 
ADAMTS2 	M 
AEBP1 	M 
ANGPTL2 	M 
ANTXR1 	M 
AP1G1 	E 
ATP8B1 	E 
AXL 	M 
BNC2 	M 
CALD1 	M 
CDH1 	E 
CDH2 	M 
CDS1 	E 
CGN 	E 
CLDN4 	E 
CMTM3 	M 
CNOT1 	E 
CNRIP1 	M 
COL10A1 	M 
COL1A1 	M 
COL1A2 	M 
COL3A1 	M 
COL5A1 	M 
COL5A2 	M 
COL6A1 	M 
COL6A2 	M 
COL6A3 	M 
COL8A1 	M 
CTNND1 	E 
DACT1 	M 
DYNC1LI2	E 
EMP3 	M 
ERBB3 	E 
ESRP1 	E 
ESRP2 	E 
F11R 	E 
FAP 	M 
FBN1 	M 
FN1 	M 
FSTL1 	M 
GALNT3 	E 
GPC6 	M 
GPR56 	E 
GRHL2 	E 
GYPC 	M 
HOOK1 	E 
HTRA1 	M 
INHBA 	M 
IRF6 	E 
ITGA11 	M 
LOXL2 	M 
LRRC15 	M 
MAP7 	E 
MARVELD2 	E 
MARVELD3 	E 
MMP2 	M 
MSRB3 	M 
MYO5B 	E 
NAP1L3 	M 
NID2 	M 
OCLN 	E 
OLFML2B 	M 
PCOLCE 	M 
PDGFRB 	M 
PMP22 	M 
POSTN 	M 
PRSS8 	E 
SPARC 	M 
SPINT1 	E 
SPOCK1 	M 
SULF1 	M 
SYT11 	M 
THBS2 	M 
VCAN 	M 
VIM 	M 
ZEB2 	M 
