spl	spl_type	PDX_line
T1	Tumor	PDX608
T2	Tumor	PDX738	
T3	Tumor	None
T4	Tumor	PDX366
T5b	Tumor	None
T6	Tumor	None
T7	Tumor	None
T8	Tumor	None
T9	Tumor	None
T10	Tumor	None
T11	Tumor	None
T12	Tumor	None
T13	Tumor	None
T14	Tumor	None
T15b	Tumor	None
T16	Tumor	None
T17	Tumor	None
T18	Tumor	None
T19	Tumor	None
T20	Tumor	None
T21	Tumor	None
T22	Tumor	None
T23	Tumor	PDX395
T24b	Tumor	None
T25	Tumor	None
T26	Tumor	None
T27	Tumor	PDX449
T28	Tumor	None
N1	Normal	None
N2	Normal	None
N3c	Normal	None	
C1	Cells	PDX188
C2	Cells	PDX366
C3	Cells	PDX395
C4b	Cells	PDX449
C5	Cells	PDX608
C6b	Cells	PDX738
M1	Mets	PDX188
M2	Mets	PDX366
M3	Mets	PDX395
M5	Mets	PDX608
M6	Mets	PDX738
