gene	type
SERPINB4	Basal-like
KRT7	Basal-like
UCA1	Basal-like
DHRS9	Basal-like
SERPINB3	Basal-like
FGFBP1	Basal-like
VGLL1	Basal-like
SLC2A1	Basal-like
KRT17	Basal-like
KRT6C	Basal-like
KRT6A	Basal-like
SPRR3	Basal-like
SPRR1B	Basal-like
LEMD1	Basal-like
KRT15	Basal-like
CTSL2	Basal-like
TNS4	Basal-like
SCEL	Basal-like
LY6D	Basal-like
GPR87	Basal-like
CST6	Basal-like
S100A2	Basal-like
FAM83A	Basal-like
AREG	Basal-like
ANXA8L2	Basal-like
ATAD4	Classical
KRT20	Classical
CYP3A7	Classical
CEACAM6	Classical
CLRN3	Classical
MYO1A	Classical
CDH17	Classical
SPINK4	Classical
LYZ	Classical
AGR3	Classical
FAM3D	Classical
AGR2	Classical
TFF3	Classical
BTNL8	Classical
CTSE	Classical
TSPAN8	Classical
PLA2G10	Classical
REG4	Classical
LGALS4	Classical
ANXA10	Classical
VSIG2	Classical
ST6GALNAC1	Classical
TFF2	Classical
TFF1	Classical
LOC500574	Classical
