gene	type
ZNF469	Activated_stroma
VCAN	Activated_stroma
THBS2	Activated_stroma
SULF1	Activated_stroma
SPARC	Activated_stroma
SFRP2	Activated_stroma
POSTN	Activated_stroma
MMP11	Activated_stroma
LUM	Activated_stroma
ITGA11	Activated_stroma
INHBA	Activated_stroma
GREM1	Activated_stroma
FNDC1	Activated_stroma
FN1	Activated_stroma
FAP	Activated_stroma
CTHRC1	Activated_stroma
COMP	Activated_stroma
COL5A2	Activated_stroma
COL5A1	Activated_stroma
COL3A1	Activated_stroma
COL1A2	Activated_stroma
COL1A1	Activated_stroma
COL11A1	Activated_stroma
COL10A1	Activated_stroma
CDH11	Activated_stroma
VIT	Normal_stroma
SYNM	Normal_stroma
SCRG1	Normal_stroma
RSPO3	Normal_stroma
RERGL	Normal_stroma
RBPMS2	Normal_stroma
PTX3	Normal_stroma
PLP1	Normal_stroma
OGN	Normal_stroma
MYH11	Normal_stroma
MEOX2	Normal_stroma
LPHN3	Normal_stroma
LMOD1	Normal_stroma
IGF1	Normal_stroma
ID4	Normal_stroma
GPM6B	Normal_stroma
FABP4	Normal_stroma
DES	Normal_stroma
CDH19	Normal_stroma
ANGPTL7	Normal_stroma
ADAMTS1	Normal_stroma
ACTG2	Normal_stroma
ABCA8	Normal_stroma
