"ensembl_gene_id","entrezgene_id"
"ENSG00000000457",57147
"ENSG00000000460",55732
"ENSG00000000938",2268
"ENSG00000000971",3075
"ENSG00000001460",90529
"ENSG00000001461",57185
"ENSG00000003137",56603
"ENSG00000003509",55471
"ENSG00000004455",204
"ENSG00000004487",23028
"ENSG00000005436",6936
"ENSG00000005448",84058
"ENSG00000006555",55001
"ENSG00000007001",151531
"ENSG00000007341",54879
"ENSG00000007908",6401
"ENSG00000007923",55735
"ENSG00000007933",2328
"ENSG00000007968",1870
"ENSG00000008118",57172
"ENSG00000008128",728642
"ENSG00000008130",65220
"ENSG00000008869",54497
"ENSG00000009307",7812
"ENSG00000009709",5081
"ENSG00000009724",10747
"ENSG00000009780",199870
"ENSG00000009790",80342
"ENSG00000010072",83932
"ENSG00000010165",51603
"ENSG00000010803",22955
"ENSG00000010932",2326
"ENSG00000011007",6924
"ENSG00000011009",11313
"ENSG00000011021",1185
"ENSG00000011523",23177
"ENSG00000011566",8491
"ENSG00000013016",30845
"ENSG00000014641",4190
"ENSG00000014914",10903
"ENSG00000015568",84220
"ENSG00000016490",1179
"ENSG00000016602",22802
"ENSG00000018625",477
"ENSG00000018699",55622
"ENSG00000019169",8685
"ENSG00000020129",23154
"ENSG00000020633",864
"ENSG00000021574",6683
"ENSG00000021852",732
"ENSG00000023572",51022
"ENSG00000023902",51177
"ENSG00000023909",2730
"ENSG00000024526",55635
"ENSG00000025800",23633
"ENSG00000026751",57823
"ENSG00000027644",3645
"ENSG00000027869",9047
"ENSG00000028116",7444
"ENSG00000028137",7133
"ENSG00000031698",6301
"ENSG00000032389",7260
"ENSG00000033122",57554
"ENSG00000034510",9168
"ENSG00000034971",4653
"ENSG00000035115",26751
"ENSG00000035141",84908
"ENSG00000035687",159
"ENSG00000036549",26009
"ENSG00000037637",54455
"ENSG00000040487",54896
"ENSG00000040933",3631
"ENSG00000041988",90326
"ENSG00000042445",54884
"ENSG00000042493",822
"ENSG00000042781",7399
"ENSG00000043514",54802
"ENSG00000044012",2981
"ENSG00000047410",7175
"ENSG00000048707",55187
"ENSG00000048991",23518
"ENSG00000049089",1298
"ENSG00000049239",9563
"ENSG00000049245",9341
"ENSG00000049246",8863
"ENSG00000049247",10911
"ENSG00000049249",3604
"ENSG00000049323",4052
"ENSG00000050628",5733
"ENSG00000052723",80143
"ENSG00000053371",8574
"ENSG00000053372",51154
"ENSG00000054116",27095
"ENSG00000054118",9967
"ENSG00000054219",4065
"ENSG00000054267",51742
"ENSG00000054277",23596
"ENSG00000054282",10806
"ENSG00000054392",55733
"ENSG00000054523",23095
"ENSG00000055070",26099
"ENSG00000055332",5610
"ENSG00000055732",55283
"ENSG00000055813",114800
"ENSG00000055917",23369
"ENSG00000057252",6646
"ENSG00000057468",4438
"ENSG00000057757",57095
"ENSG00000057935",57504
"ENSG00000058085",3918
"ENSG00000058453",9696
"ENSG00000058668",493
"ENSG00000058673",9877
"ENSG00000058799",54432
"ENSG00000058804",55706
"ENSG00000059588",6894
"ENSG00000059728",4084
"ENSG00000060642",55650
"ENSG00000060656",10076
"ENSG00000060688",9410
"ENSG00000060718",1301
"ENSG00000064703",11218
"ENSG00000064886",1117
"ENSG00000065135",2773
"ENSG00000065183",10885
"ENSG00000065243",5586
"ENSG00000065526",23013
"ENSG00000065600",55248
"ENSG00000065911",10797
"ENSG00000065978",4904
"ENSG00000066027",5525
"ENSG00000066032",1496
"ENSG00000066056",7075
"ENSG00000066135",9682
"ENSG00000066136",4802
"ENSG00000066185",84217
"ENSG00000066279",259266
"ENSG00000066294",8832
"ENSG00000066322",64834
"ENSG00000066557",55631
"ENSG00000067208",7813
"ENSG00000067334",30836
"ENSG00000067533",51018
"ENSG00000067606",5590
