ensemblID	symbol	type
ENSG00000219073	CELA3B	ADEX
ENSG00000137392	CLPS	ADEX
ENSG00000168925	CTRB1	ADEX
ENSG00000158516	CPA2	ADEX
ENSG00000091704	CPA1	ADEX
ENSG00000138161	CUZD1	ADEX
ENSG00000204787	REG1P	ADEX
ENSG00000168928	CTRB2	ADEX
ENSG00000187021	PNLIPRP1	ADEX
ENSG00000142789	CELA3A	ADEX
ENSG00000170835	CEL	ADEX
ENSG00000162438	CTRC	ADEX
ENSG00000103375	AQP8	ADEX
ENSG00000240338	RP11-331F4.4	ADEX
ENSG00000143954	REG3G	ADEX
ENSG00000114204	SERPINI2	ADEX
ENSG00000170890	PLA2G1B	ADEX
ENSG00000124232	RBPJL	ADEX
ENSG00000141086	CTRL	ADEX
ENSG00000179751	SYCN	ADEX
ENSG00000172023	REG1B	ADEX
ENSG00000204983	PRSS1	ADEX
ENSG00000158014	SLC30A2	ADEX
ENSG00000153002	CPB1	ADEX
ENSG00000139055	ERP27	ADEX
ENSG00000250591	PRSS3P1	ADEX
ENSG00000243480	AMY2A	ADEX
ENSG00000215704	CELA2B	ADEX
ENSG00000174672	BRSK2	ADEX
ENSG00000167748	KLK1	ADEX
ENSG00000188338	SLC38A3	ADEX
ENSG00000165862	PNLIPRP2	ADEX
ENSG00000142615	CELA2A	ADEX
ENSG00000250606	PRSS3P2	ADEX
ENSG00000240038	AMY2B	ADEX
ENSG00000152779	SLC16A12	ADEX
ENSG00000175535	PNLIP	ADEX
ENSG00000172016	REG3A	ADEX
ENSG00000169347	GP2	ADEX
ENSG00000088926	F11	ADEX
ENSG00000171303	KCNK3	ADEX
ENSG00000106927	AMBP	ADEX
ENSG00000105290	APLP1	ADEX
ENSG00000126259	KIRREL2	ADEX
ENSG00000189292	FAM150B	ADEX
ENSG00000130005	GAMT	ADEX
ENSG00000104760	FGL1	ADEX
ENSG00000185615	PDIA2	ADEX
ENSG00000137731	FXYD2	ADEX
ENSG00000133958	UNC79	ADEX
ENSG00000185518	SV2B	ADEX
ENSG00000231013	AC013275.2	ADEX
ENSG00000130294	KIF1A	ADEX
ENSG00000010438	PRSS3	ADEX
ENSG00000176406	RIMS2	ADEX
ENSG00000161270	NPHS1	ADEX
ENSG00000169862	CTNND2	ADEX
ENSG00000066032	CTNNA2	ADEX
ENSG00000171759	PAH	ADEX
ENSG00000169856	ONECUT1	ADEX
ENSG00000173930	SLCO4C1	ADEX
ENSG00000147488	ST18	ADEX
ENSG00000165443	PHYHIPL	ADEX
ENSG00000124374	PAIP2B	ADEX
ENSG00000110436	SLC1A2	ADEX
ENSG00000040731	CDH10	ADEX
ENSG00000180535	BHLHA15	ADEX
ENSG00000151952	TMEM132D	ADEX
ENSG00000039537	C6	ADEX
ENSG00000241935	HOGA1	ADEX
ENSG00000150627	WDR17	ADEX
ENSG00000115386	REG1A	ADEX
ENSG00000251594	RP11-728F11.1	ADEX
ENSG00000108309	RUNDC3A	ADEX
ENSG00000197584	KCNMB2	ADEX
ENSG00000158813	EDA	ADEX
ENSG00000244067	GSTA2	ADEX
ENSG00000134463	ECHDC3	ADEX
ENSG00000171067	C11orf24	ADEX
ENSG00000187045	TMPRSS6	ADEX
ENSG00000138356	AOX1	ADEX
ENSG00000188488	SERPINA5	ADEX
